catalyst,temperature,compound,HC,nominal,O2_in,O2_out,NO_in,NO_out,NH3_in,NH3_out,NO2_in,NO2_out,N2O_in,N2O_out
Cu12AEZ,400,NO,None,200,8,8,204.8,177.5,346.5,314.1,0,1.4,0,0.4
Cu12AEZ,400,NO,None,300,8,8,311.1,279.3,345.9,310.1,0,0.6,0,0.1
Cu12AEZ,400,NO,None,400,8,8,410.9,376,343.8,304.1,0,0.5,0,0.1
Cu12AEZ,400,NO,None,500,8,8,500.6,464.8,340.9,297.3,0,0,0,0
Cu12AEZ,400,NO,None,600,8,8,585.1,551.2,331.6,296.2,0,0,0,0
Cu12AEZ,400,NO_2,None,200,8,8,197.5,161.8,360.6,329.4,0,0,0,0
Cu12AEZ,400,NO_2,None,300,8,8,306.8,260.4,360.6,319.3,0,0,0,0
Cu12AEZ,400,NO_2,None,350,8,8,358.3,308.9,363.8,314.4,0,0,0,0
Cu12AEZ,400,NO_2,None,400,8,8,407,355.5,365.5,310.7,0,1.1,0,0.6
Cu12AEZ,400,NO_2,None,450,8,8,453,400.9,366.6,304.1,0,1.8,0,1.1
Cu12AEZ,400,NO_2,None,500,8,8,498.8,445.5,366.7,299.1,0,2.9,0,1.7
Cu12AEZ,400,NO_2,None,600,8,8,583.1,530,364,291.3,0,4,0,1.8
Cu12AEZ,400,NH3,None,200,8,8,410.5,361.9,148.8,48.9,0,1.6,0,1.2
Cu12AEZ,400,NH3,None,300,8,8,407.9,352.5,253.9,171.5,0,1.7,0,1.1
Cu12AEZ,400,NH3,None,400,8,8,407.1,358.6,350.8,282.7,0,1.9,0,1.3
Cu12AEZ,400,NH3,None,500,8,8,408.3,361.2,438.9,379.3,0,2.3,0,1.5
Cu12AEZ,400,NH3,None,600,8,8,408.5,363.2,516.3,469.5,0,3.4,0,1.6
Cu12AEZ,400,O2,None,2,2,2,419.8,398.6,321.9,278.7,0,4.8,0,4
Cu12AEZ,400,O2,None,4,4,4,420.4,386.9,324,263,0,3.7,0,3.7
Cu12AEZ,400,O2,None,6,6,6,420.5,377.8,321.8,253.1,0,3,0,2.6
Cu12AEZ,400,O2,None,9,9,9,419.8,369.9,318.8,242.7,0,2.2,0,2.3
Cu12AEZ,400,O2,None,10,10,10,419.1,363,316.5,228,0,1.2,0,1.8
Cu12AEZ,400,O2,None,12,12,12,419.9,358.1,316.2,223.1,0,1,0,1.9
Cu12AEZ,400,O2,None,20,20,20,419.9,338.7,314,198.1,0,0.4,0,1.5
Cu12AEZ,400,NO,C3,200,8,8,197.9,188.4,394.9,369.9,0,3.3,0,1.5
Cu12AEZ,400,NO,C3,300,8,8,303,289.3,395,369.2,0,3.1,0,1.6
Cu12AEZ,400,NO,C3,350,8,8,354.8,340.2,394.9,369,0,2.5,0,1.4
